item_id,features
22200,"Zeno Clash, ACE Team, 2009"
1250,"Killing Floor, Tripwire Interactive, 2009"
227300,"Euro Truck Simulator 2, SCS Software, 2013"
239030,"Papers, Please, 3909, 2013"
107200,"Space Pirates and Zombies, MinMax Games Ltd., 2011"
224500,"Gnomoria, Robotronic Games, 2016"
263360,"3089 -- Futuristic Action RPG, Phr00t's Software, 2014"
237930,"Transistor, Supergiant Games, 2014"
370360,"TIS-100, Zachtronics, 2015"
20920,"The Witcher 2: Assassins of Kings Enhanced Edition, CD PROJEKT RED, 2011"
108710,"Alan Wake, Remedy Entertainment, 2012"
207610,"The Walking Dead, Telltale Games, 2012"
204100,"Max Payne 3, Rockstar Studios, 2012"
250320,"The Wolf Among Us, Telltale Games, 2013"
211420,"DARK SOULS™: Prepare To Die™ Edition, FromSoftware, 2012"
204300,"Awesomenauts - the 2D moba, Ronimo Games, 2012"
730,"Counter-Strike: Global Offensive, Valve, 2012"
211820,"Starbound, Chucklefish, 2016"
4000,"Garry's Mod, Facepunch Studios, 2006"
42910,"Magicka, Arrowhead Game Studios, 2011"
232090,"Killing Floor 2, Tripwire Interactive, 2016"
304930,"Unturned, Smartly Dressed Games, 2017"
218740,"Pid, Might and Delight, 2012"
550,"Left 4 Dead 2, Valve, 2009"
8870,"BioShock Infinite, Irrational Games,Aspyr (Mac),Virtual Programming (Linux), 2013"
33930,"Arma 2: Operation Arrowhead, Bohemia Interactive, 2010"
368230,"Kingdom: Classic, Noio,Licorice, 2015"
287980,"Mini Metro, Dinosaur Polo Club, 2015"
208090,"Loadout, Edge of Reality, 2014"
331470,"Everlasting Summer, Soviet Games, 2014"
48700,"Mount &amp; Blade: Warband, TaleWorlds Entertainment, 2010"
113200,"The Binding of Isaac, Edmund McMillen and Florian Himsl, 2011"
213670,"South Park™: The Stick of Truth™, Obsidian Entertainment, 2014"
105600,"Terraria, Re-Logic, 2011"
620,"Portal 2, Valve, 2011"
204360,"Castle Crashers®, The Behemoth, 2012"
299360,"Block N Load, Jagex,Artplant, 2015"
248570,"Toribash, Nabi Studios, 2006"
298630,"The Escapists, Mouldy Toof Studios, 2015"
257750,"Bloody Trapland, 2Play, 2013"
221910,"The Stanley Parable, Galactic Cafe, 2013"
376920,"Tiki Man, Anarchy Enterprises, 2015"
417860,"Emily is Away, Kyle Seeley, 2015"
377160,"Fallout 4, Bethesda Game Studios, 2015"
251990,"Long Live The Queen, Hanako Games, 2013"
252950,"Rocket League®, Psyonix, Inc., 2015"
344760,"Reign Of Kings, Code}{atch, 2015"
219150,"Hotline Miami, Dennaton Games, 2012"
17410,"Mirror's Edge™, DICE, 2009"
239820,"Game Dev Tycoon, Greenheart Games, 2013"
