item_id,title,genre,developer,release_date,price
761140,Lost Summoner Kitty,Action,Kotoshiro,2018,4.99
643980,Ironbound,Free to Play,Secret Level SRL,2018,0
670290,Real Pool 3D - Poolians,Casual,Poolians.com,2017,0
767400,弹炸人2222,Action,彼岸领域,2017,0.99
772540,Battle Royale Trainer,Action,Trickjump Games Ltd,2018,3.99
774276,SNOW - All Access Basic Pass,Free to Play,Poppermost Productions,2018,9.99
774277,SNOW - All Access Pro Pass,Free to Play,Poppermost Productions,2018,18.99
774278,SNOW - All Access Legend Pass,Free to Play,Poppermost Productions,2018,29.99
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Action,Stegalosaurus Game Development,2018,10.99
768880,Beach Rules,Casual,Copperpick Studio,2018,3.99
765320,Planetarium 2 - Zen Odyssey,Casual,Ghulam Jewel,2018,2.99
773650,The first thrust of God,Adventure,Apillo,2018,1.59
774271,SNOW - Starter Pack,Free to Play,Poppermost Productions,2018,14.99
773690,The first thrust of God - All Aircrafts,Adventure,Apillo,2018,1.99
774279,SNOW - Lifetime Pack,Free to Play,Poppermost Productions,2018,59.99
768060,The Warrior Of Treasures,Action,Tero Lunkka,2018,0.99
775880,RC Plane 3 - Canyon Scenario,Racing,FrozenPepper,2017,2.99
775881,RC Plane 3 - F-53B,Racing,FrozenPepper,2017,2.99
653960,DinoBlaster,Action,Casey Labrack,2018,4.99
282010,Carmageddon Max Pack,Action,Stainless Games Ltd,1997,9.99
70,Half-Life,Action,Valve,1998,9.99
752360,Fallen Mage,Action,dev4play,2016,1.99
766850,Vaporwave Simulator,Casual,ETGgames,2018,0.99
754360,Underdone - Soundtrack,Action,The Commander,2018,8.99
716110,Bitcoin Clicker,Adventure,"lalalaZero,Urbanoff",2018,0.99
1640,Disciples II: Gallean's Return,Strategy,Strategy First,2006,6.99
1630,Disciples II: Rise of the Elves,Strategy,Strategy First,2006,6.99
2400,The Ship: Murder Party,Action,Outerlight Ltd.,2006,9.99
759920,Souland,Action,Ultraint,2017,7.99
603280,TAROTICA VOO DOO,Action,TPM.CO SOFT WORKS,2017,10.99
753110,Chronicles of Vinland,Casual,Wonderbox Games,2017,9.99
753100,Orbitality,Action,Wonderbox Games,2017,9.99
764280,Atomic Adam: Episode 1,Action,Mad Unicorn Games,2017,1.99
758550,Mirt. Tales of the Cold Land. Chapter 2,Adventure,Emanon Studios,2017,0.99
3800,Advent Rising,Action,GlyphX Games,2005,9.99
1520,DEFCON,Indie,Introversion Software,2006,9.99
2420,The Ship: Single Player,Action,Outerlight Ltd.,2006,9.99
4000,Garry's Mod,Indie,Facepunch Studios,2006,9.99
4230,RACE - The WTCC Game,Racing,SimBin,2006,39.99
2520,Gumboy - Crazy Adventures™,Casual,"CINEMAX, s.r.o.",2006,4.99
6200,Ghost Master®,Strategy,Sick Puppies,2003,4.99
6210,Vegas: Make It Big™,Strategy,Deepred,2006,4.99
6300,Dreamfall: The Longest Journey,Adventure,Funcom,2006,19.99
2990,FlatOut 2™,Racing,Bugbear Entertainment,2006,9.99
6220,FlatOut,Racing,Bugbear Entertainment,2005,7.49
6510,Lost Planet™: Extreme Condition,Action,"CAPCOM Co., Ltd.",2007,14.99
3980,CivCity: Rome,Strategy,"FireFly Studios,Firaxis Games",2006,9.99
1700,Arx Fatalis,RPG,Arkane Studios,2002,4.99
6310,The Longest Journey,Action,Funcom,2000,9.99
3990,Civilization IV®: Warlords,Strategy,Firaxis Games,2006,4.99
7610,Railroad Tycoon 3,Strategy,PopTop,2003,9.99
7600,Sid Meier's Railroads!,Strategy,"Firaxis Games,Feral Interactive (Mac)",2006,9.99
7620,Railroad Tycoon II Platinum,Strategy,PopTop,1998,4.99
2540,RIP - Trilogy™,Casual,Elephant Games,2007,4.99
7650,X-COM: Terror From the Deep,Strategy,"MicroProse Software, Inc",1995,4.99
8000,Tomb Raider: Anniversary,Action,"Crystal Dynamics,Feral Interactive (Mac)",2007,8.99
6550,Devil May Cry® 3 Special Edition,Action,"CAPCOM Co., Ltd.",2006,19.99
8200,Sam &amp; Max 101: Culture Shock,Action,Telltale Games,2006,19.99
2290,Final DOOM,Action,id Software,1996,4.99
8210,Sam &amp; Max 102: Situation: Comedy,Action,Telltale Games,2006,19.99
2280,Ultimate Doom,Action,id Software,1995,4.99
9160,Master Levels for Doom II,Action,id Software,1995,14.99
2300,DOOM II,Action,id Software,1994,4.99
2270,Wolfenstein 3D,Action,id Software,1994,4.99
9010,Return to Castle Wolfenstein,Action,Gray Matter Studios,2001,4.99
9040,QUAKE Mission Pack 1: Scourge of Armagon,Action,Ritual Entertainment,1997,2.99
